date,open,high,low,close
01092023,43996.1,44568.55,43832.8,44403.7
04092023,44647.65,44656.05,44310.95,44584.25
05092023,44625.05,44668.7,44401.7,44543.85
06092023,44494.65,44577,44207.25,44468.55
07092023,44418.05,44915.55,44341.2,44855.55
08092023,44953.65,45383.35,44812.15,45169.55
11092023,45340.8,45630.6,45236.7,45618.95
12092023,45893.8,45893.8,45322.95,45490.1
13092023,45449.35,45990.5,45301.85,45899.6
14092023,46013.3,46153.9,45810.15,45983.65
15092023,46122.15,46310.4,46032.9,46154.05
18092023,46100.95,46252.95,45908.9,45945.45
20092023,45493.7,45745.15,45281.5,45442.65
21092023,45179.6,45276.8,44593.4,44610.2
22092023,44707.35,44996.75,44552.5,44639.95
25092023,44615,44936.55,44403.65,44758.4
26092023,44722.5,44773.8,44532.45,44662.45
27092023,44465.9,44668,44182.5,44600.75
28092023,44700.35,44756.8,44248.2,44288.2
29092023,44445.35,44755.05,44344.9,44603.15
03102023,44561.5,44566.3,44243.1,44395.3
04102023,44108.15,44161.35,43857.5,43993.3
05102023,44181.35,44391.85,44108.3,44208.25
06102023,44395.4,44500.7,44242.95,44368.05
09102023,44057.8,44113.2,43796.75,43868.5
10102023,44027.55,44487.25,44004.55,44378.4
11102023,44554.9,44710.55,44411.4,44519.85
12102023,44571.55,44693.05,44530.05,44570.85
13102023,44322.05,44563.05,44203.7,44220.5
16102023,44204.75,44356.95,44044.4,44242.55
17102023,44589.8,44589.85,44336.95,44441.3
18102023,44404.2,44412.5,43861.45,43894.45
19102023,43616.75,44058.8,43558.1,43752.45
20102023,43584.25,43877.5,43567.45,43740.65
23102023,43822.7,43831.3,43029.45,43186
25102023,43308.3,43397.45,42758.4,42848.15
26102023,42708.4,42716.2,42105.4,42288.15
27102023,42555.6,42840.15,42482.75,42831.25
30102023,42721.4,43112.5,42390.5,43073.6
31102023,43356.85,43356.85,42797.15,42827.75
